,Unnamed: 0,pclass,survived,name,gender,age,sibsp,parch,fare,embarked
0,0,1,1,"Allen, Miss. Elisabeth Walton",female,29.0,0,0,211.34,S
1,1,1,1,"Allison, Master. Hudson Trevor",male,0.9167,1,2,151.55,S
2,2,1,0,"Allison, Miss. Helen Loraine",female,2.0,1,2,151.55,S
3,3,1,0,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,151.55,S
4,4,1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,151.55,S
5,5,1,1,"Anderson, Mr. Harry",male,48.0,0,0,26.55,S
6,6,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,77.96,S
7,7,1,0,"Andrews, Mr. Thomas Jr",male,39.0,0,0,0.0,S
8,8,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,2,0,51.48,S
9,9,1,0,"Artagaveytia, Mr. Ramon",male,71.0,0,0,49.5,C
10,10,1,0,"Astor, Col. John Jacob",male,47.0,1,0,227.53,C
11,11,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,1,0,227.53,C
12,12,1,1,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,69.3,C
13,13,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0,0,78.85,S
14,14,1,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,0,0,30.0,S
15,15,1,0,"Baumann, Mr. John D",male,29.8811345124283,0,0,25.93,S
16,16,1,0,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,247.52,C
17,17,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,0,1,247.52,C
18,18,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,76.29,C
19,19,1,0,"Beattie, Mr. Thomson",male,36.0,0,0,75.24,C
20,20,1,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,52.55,S
21,21,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,1,1,52.55,S
22,22,1,1,"Behr, Mr. Karl Howell",male,26.0,0,0,30.0,C
23,23,1,1,"Bidois, Miss. Rosalie",female,42.0,0,0,227.53,C
24,24,1,1,"Bird, Miss. Ellen",female,29.0,0,0,221.78,S
25,25,1,0,"Birnbaum, Mr. Jakob",male,25.0,0,0,26.0,C
26,26,1,1,"Bishop, Mr. Dickinson H",male,25.0,1,0,91.08,C
27,27,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1,0,91.08,C
28,28,1,1,"Bissette, Miss. Amelia",female,35.0,0,0,135.63,S
29,29,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0,0,26.55,S
30,30,1,0,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,35.5,S
31,31,1,1,"Blank, Mr. Henry",male,40.0,0,0,31.0,C
32,32,1,1,"Bonnell, Miss. Caroline",female,30.0,0,0,164.87,S
33,33,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,26.55,S
34,34,1,0,"Borebank, Mr. John James",male,42.0,0,0,26.55,S
35,35,1,1,"Bowen, Miss. Grace Scott",female,45.0,0,0,262.38,C
36,36,1,1,"Bowerman, Miss. Elsie Edith",female,22.0,0,1,55.0,S
37,37,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,29.8811345124283,0,0,26.55,S
38,38,1,0,"Brady, Mr. John Bertram",male,41.0,0,0,30.5,S
39,39,1,0,"Brandeis, Mr. Emil",male,48.0,0,0,50.5,C
40,40,1,0,"Brewe, Dr. Arthur Jackson",male,29.8811345124283,0,0,39.6,C
41,41,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,27.72,C
42,42,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,2,0,51.48,S
43,43,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,0,0,76.29,C
44,44,1,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0,0,134.5,C
45,45,1,0,"Butt, Major. Archibald Willingham",male,45.0,0,0,26.55,S
46,46,1,0,"Cairns, Mr. Alexander",male,29.8811345124283,0,0,31.0,S
47,47,1,1,"Calderhead, Mr. Edward Pennington",male,42.0,0,0,26.29,S
48,48,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,53.0,0,0,27.45,C
49,49,1,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,0,1,512.33,C
50,50,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,0,1,512.33,C
51,51,1,0,"Carlsson, Mr. Frans Olof",male,33.0,0,0,5.0,S
52,52,1,0,"Carrau, Mr. Francisco M",male,28.0,0,0,47.1,S
53,53,1,0,"Carrau, Mr. Jose Pedro",male,17.0,0,0,47.1,S
54,54,1,1,"Carter, Master. William Thornton II",male,11.0,1,2,120.0,S
55,55,1,1,"Carter, Miss. Lucile Polk",female,14.0,1,2,120.0,S
56,56,1,1,"Carter, Mr. William Ernest",male,36.0,1,2,120.0,S
57,57,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,1,2,120.0,S
