,Unnamed: 0,pclass,survived,gender,age,sibsp,parch,fare,embarked
0,0,1,1,female,29.0,0,0,211.34,S
1,1,1,1,male,0.9167,1,2,151.55,S
2,2,1,0,female,2.0,1,2,151.55,S
3,3,1,0,male,30.0,1,2,151.55,S
4,4,1,0,female,25.0,1,2,151.55,S
5,5,1,1,male,48.0,0,0,26.55,S
6,6,1,1,female,63.0,1,0,77.96,S
7,7,1,0,male,39.0,0,0,0.0,S
8,8,1,1,female,53.0,2,0,51.48,S
9,9,1,0,male,71.0,0,0,49.5,C
10,10,1,0,male,47.0,1,0,227.53,C
11,11,1,1,female,18.0,1,0,227.53,C
12,12,1,1,female,24.0,0,0,69.3,C
13,13,1,1,female,26.0,0,0,78.85,S
14,14,1,1,male,80.0,0,0,30.0,S
15,15,1,0,male,,0,0,25.93,S
16,16,1,0,male,24.0,0,1,247.52,C
17,17,1,1,female,50.0,0,1,247.52,C
18,18,1,1,female,32.0,0,0,76.29,C
19,19,1,0,male,36.0,0,0,75.24,C
20,20,1,1,male,37.0,1,1,52.55,S
21,21,1,1,female,47.0,1,1,52.55,S
22,22,1,1,male,26.0,0,0,30.0,C
23,23,1,1,female,42.0,0,0,227.53,C
24,24,1,1,female,29.0,0,0,221.78,S
25,25,1,0,male,25.0,0,0,26.0,C
26,26,1,1,male,25.0,1,0,91.08,C
27,27,1,1,female,19.0,1,0,91.08,C
28,28,1,1,female,35.0,0,0,135.63,S
29,29,1,1,male,28.0,0,0,26.55,S
30,30,1,0,male,45.0,0,0,35.5,S
31,31,1,1,male,40.0,0,0,31.0,C
32,32,1,1,female,30.0,0,0,164.87,S
33,33,1,1,female,58.0,0,0,26.55,S
34,34,1,0,male,42.0,0,0,26.55,S
35,35,1,1,female,45.0,0,0,262.38,C
36,36,1,1,female,22.0,0,1,55.0,S
37,37,1,1,male,,0,0,26.55,S
38,38,1,0,male,41.0,0,0,30.5,S
39,39,1,0,male,48.0,0,0,50.5,C
40,40,1,0,male,,0,0,39.6,C
41,41,1,1,female,44.0,0,0,27.72,C
42,42,1,1,female,59.0,2,0,51.48,S
43,43,1,1,female,60.0,0,0,76.29,C
44,44,1,1,female,41.0,0,0,134.5,C
45,45,1,0,male,45.0,0,0,26.55,S
46,46,1,0,male,,0,0,31.0,S
47,47,1,1,male,42.0,0,0,26.29,S
48,48,1,1,female,53.0,0,0,27.45,C
49,49,1,1,male,36.0,0,1,512.33,C
50,50,1,1,female,58.0,0,1,512.33,C
51,51,1,0,male,33.0,0,0,5.0,S
52,52,1,0,male,28.0,0,0,47.1,S
53,53,1,0,male,17.0,0,0,47.1,S
54,54,1,1,male,11.0,1,2,120.0,S
55,55,1,1,female,14.0,1,2,120.0,S
56,56,1,1,male,36.0,1,2,120.0,S
57,57,1,1,female,36.0,1,2,120.0,S
58,58,1,0,male,49.0,0,0,26.0,S
59,59,1,1,female,,0,0,27.72,C
60,60,1,0,male,36.0,1,0,78.85,S
61,61,1,1,female,76.0,1,0,78.85,S
62,62,1,0,male,46.0,1,0,61.18,S
63,63,1,1,female,47.0,1,0,61.18,S
64,64,1,1,male,27.0,1,0,53.1,S
65,65,1,1,female,33.0,1,0,53.1,S
66,66,1,1,female,36.0,0,0,262.38,C
67,67,1,1,female,30.0,0,0,86.5,S
68,68,1,1,male,45.0,0,0,29.7,C
69,69,1,1,female,,0,1,55.0,S
70,70,1,0,male,,0,0,0.0,S
71,71,1,0,male,27.0,1,0,136.78,C
72,72,1,1,female,26.0,1,0,136.78,C
73,73,1,1,female,22.0,0,0,151.55,S
74,74,1,0,male,,0,0,52.0,S
75,75,1,0,male,47.0,0,0,25.59,S
76,76,1,1,female,39.0,1,1,83.16,C
77,77,1,0,male,37.0,1,1,83.16,C
78,78,1,1,female,64.0,0,2,83.16,C
79,79,1,1,female,55.0,2,0,25.7,S
80,80,1,0,male,,0,0,26.55,S
81,81,1,0,male,70.0,1,1,71.0,S
82,82,1,1,female,36.0,0,2,71.0,S
83,83,1,1,female,64.0,1,1,26.55,S
84,84,1,0,male,39.0,1,0,71.28,C
85,85,1,1,female,38.0,1,0,71.28,C
86,86,1,1,male,51.0,0,0,26.55,S
87,87,1,1,male,27.0,0,0,30.5,S
88,88,1,1,female,33.0,0,0,151.55,S
89,89,1,0,male,31.0,1,0,52.0,S
90,90,1,1,female,27.0,1,2,52.0,S
91,91,1,1,male,31.0,1,0,57.0,S
92,92,1,1,female,17.0,1,0,57.0,S
93,93,1,1,male,53.0,1,1,81.86,S
94,94,1,1,male,4.0,0,2,81.86,S
95,95,1,1,female,54.0,1,1,81.86,S
96,96,1,0,male,50.0,1,0,106.43,C
97,97,1,1,female,27.0,1,1,247.52,C
98,98,1,1,female,48.0,1,0,106.43,C
99,99,1,1,female,48.0,1,0,39.6,C
100,100,1,1,male,49.0,1,0,56.93,C
101,101,1,0,male,39.0,0,0,29.7,C
102,102,1,1,female,23.0,0,1,83.16,C
103,103,1,1,female,38.0,0,0,227.53,C
104,104,1,1,female,54.0,1,0,78.27,C
105,105,1,0,female,36.0,0,0,31.68,C
106,106,1,0,male,,0,0,221.78,S
107,107,1,1,female,,0,0,31.68,S
108,108,1,1,female,,0,0,110.88,C
109,109,1,1,male,36.0,0,0,26.39,S
110,110,1,0,male,30.0,0,0,27.75,C
111,111,1,1,female,24.0,3,2,263.0,S
112,112,1,1,female,28.0,3,2,263.0,S
113,113,1,1,female,23.0,3,2,263.0,S
114,114,1,0,male,19.0,3,2,263.0,S
115,115,1,0,male,64.0,1,4,263.0,S
116,116,1,1,female,60.0,1,4,263.0,S
117,117,1,1,female,30.0,0,0,56.93,C
118,118,1,0,male,,0,0,26.55,S
119,119,1,1,male,50.0,2,0,133.65,S
120,120,1,1,male,43.0,1,0,27.72,C
121,121,1,1,female,,1,0,133.65,S
122,122,1,1,female,22.0,0,2,49.5,C
123,123,1,1,male,60.0,1,1,79.2,C
124,124,1,1,female,48.0,1,1,79.2,C
125,125,1,0,male,,0,0,0.0,S
126,126,1,0,male,37.0,1,0,53.1,S
127,127,1,1,female,35.0,1,0,53.1,S
128,128,1,0,male,47.0,0,0,38.5,S
129,129,1,1,female,35.0,0,0,211.5,C
130,130,1,1,female,22.0,0,1,59.4,C
131,131,1,1,female,45.0,0,1,59.4,C
132,132,1,0,male,24.0,0,0,79.2,C
133,133,1,1,male,49.0,1,0,89.1,C
134,134,1,1,female,,1,0,89.1,C
135,135,1,0,male,71.0,0,0,34.65,C
136,136,1,1,male,53.0,0,0,28.5,C
137,137,1,1,female,19.0,0,0,30.0,S
138,138,1,0,male,38.0,0,1,153.46,S
139,139,1,1,female,58.0,0,1,153.46,S
140,140,1,1,male,23.0,0,1,63.36,C
141,141,1,1,female,45.0,0,1,63.36,C
142,142,1,0,male,46.0,0,0,79.2,C
143,143,1,1,male,25.0,1,0,55.44,C
144,144,1,1,female,25.0,1,0,55.44,C
145,145,1,1,male,48.0,1,0,76.73,C
146,146,1,1,female,49.0,1,0,76.73,C
147,147,1,0,male,,0,0,42.4,S
148,148,1,0,male,45.0,1,0,83.48,S
149,149,1,1,female,35.0,1,0,83.48,S
