,pclass,survived,gender,age,sibsp,parch,fare
0,1,1,female,29.0,0,0,211.34
1,1,1,male,0.9167,1,2,151.55
2,1,0,female,2.0,1,2,151.55
3,1,0,male,30.0,1,2,151.55
4,1,0,female,25.0,1,2,151.55
5,1,1,male,48.0,0,0,26.55
6,1,1,female,63.0,1,0,77.96
7,1,0,male,39.0,0,0,0.0
8,1,1,female,53.0,2,0,51.48
9,1,0,male,71.0,0,0,49.5
10,1,0,male,47.0,1,0,227.53
11,1,1,female,18.0,1,0,227.53
12,1,1,female,24.0,0,0,69.3
13,1,1,female,26.0,0,0,78.85
14,1,1,male,80.0,0,0,30.0
15,1,0,male,29.8811345124283,0,0,25.93
16,1,0,male,24.0,0,1,247.52
17,1,1,female,50.0,0,1,247.52
18,1,1,female,32.0,0,0,76.29
19,1,0,male,36.0,0,0,75.24
20,1,1,male,37.0,1,1,52.55
21,1,1,female,47.0,1,1,52.55
22,1,1,male,26.0,0,0,30.0
23,1,1,female,42.0,0,0,227.53
24,1,1,female,29.0,0,0,221.78
25,1,0,male,25.0,0,0,26.0
26,1,1,male,25.0,1,0,91.08
27,1,1,female,19.0,1,0,91.08
28,1,1,female,35.0,0,0,135.63
29,1,1,male,28.0,0,0,26.55
30,1,0,male,45.0,0,0,35.5
31,1,1,male,40.0,0,0,31.0
32,1,1,female,30.0,0,0,164.87
33,1,1,female,58.0,0,0,26.55
34,1,0,male,42.0,0,0,26.55
35,1,1,female,45.0,0,0,262.38
36,1,1,female,22.0,0,1,55.0
37,1,1,male,29.8811345124283,0,0,26.55
38,1,0,male,41.0,0,0,30.5
39,1,0,male,48.0,0,0,50.5
40,1,0,male,29.8811345124283,0,0,39.6
41,1,1,female,44.0,0,0,27.72
42,1,1,female,59.0,2,0,51.48
43,1,1,female,60.0,0,0,76.29
44,1,1,female,41.0,0,0,134.5
45,1,0,male,45.0,0,0,26.55
46,1,0,male,29.8811345124283,0,0,31.0
47,1,1,male,42.0,0,0,26.29
48,1,1,female,53.0,0,0,27.45
49,1,1,male,36.0,0,1,512.33
50,1,1,female,58.0,0,1,512.33
51,1,0,male,33.0,0,0,5.0
52,1,0,male,28.0,0,0,47.1
53,1,0,male,17.0,0,0,47.1
54,1,1,male,11.0,1,2,120.0
55,1,1,female,14.0,1,2,120.0
56,1,1,male,36.0,1,2,120.0
57,1,1,female,36.0,1,2,120.0
58,1,0,male,49.0,0,0,26.0
59,1,1,female,29.8811345124283,0,0,27.72
60,1,0,male,36.0,1,0,78.85
61,1,1,female,76.0,1,0,78.85
62,1,0,male,46.0,1,0,61.18
63,1,1,female,47.0,1,0,61.18
64,1,1,male,27.0,1,0,53.1
65,1,1,female,33.0,1,0,53.1
66,1,1,female,36.0,0,0,262.38
67,1,1,female,30.0,0,0,86.5
68,1,1,male,45.0,0,0,29.7
69,1,1,female,29.8811345124283,0,1,55.0
70,1,0,male,29.8811345124283,0,0,0.0
71,1,0,male,27.0,1,0,136.78
72,1,1,female,26.0,1,0,136.78
73,1,1,female,22.0,0,0,151.55
74,1,0,male,29.8811345124283,0,0,52.0
75,1,0,male,47.0,0,0,25.59
76,1,1,female,39.0,1,1,83.16
77,1,0,male,37.0,1,1,83.16
78,1,1,female,64.0,0,2,83.16
79,1,1,female,55.0,2,0,25.7
80,1,0,male,29.8811345124283,0,0,26.55
81,1,0,male,70.0,1,1,71.0
82,1,1,female,36.0,0,2,71.0
83,1,1,female,64.0,1,1,26.55
84,1,0,male,39.0,1,0,71.28
85,1,1,female,38.0,1,0,71.28
86,1,1,male,51.0,0,0,26.55
87,1,1,male,27.0,0,0,30.5
88,1,1,female,33.0,0,0,151.55
89,1,0,male,31.0,1,0,52.0
90,1,1,female,27.0,1,2,52.0
91,1,1,male,31.0,1,0,57.0
92,1,1,female,17.0,1,0,57.0
93,1,1,male,53.0,1,1,81.86
94,1,1,male,4.0,0,2,81.86
95,1,1,female,54.0,1,1,81.86
96,1,0,male,50.0,1,0,106.43
97,1,1,female,27.0,1,1,247.52
98,1,1,female,48.0,1,0,106.43
99,1,1,female,48.0,1,0,39.6
100,1,1,male,49.0,1,0,56.93
101,1,0,male,39.0,0,0,29.7
102,1,1,female,23.0,0,1,83.16
103,1,1,female,38.0,0,0,227.53
104,1,1,female,54.0,1,0,78.27
105,1,0,female,36.0,0,0,31.68
106,1,0,male,29.8811345124283,0,0,221.78
107,1,1,female,29.8811345124283,0,0,31.68
108,1,1,female,29.8811345124283,0,0,110.88
109,1,1,male,36.0,0,0,26.39
110,1,0,male,30.0,0,0,27.75
111,1,1,female,24.0,3,2,263.0
112,1,1,female,28.0,3,2,263.0
113,1,1,female,23.0,3,2,263.0
114,1,0,male,19.0,3,2,263.0
115,1,0,male,64.0,1,4,263.0
116,1,1,female,60.0,1,4,263.0
117,1,1,female,30.0,0,0,56.93
118,1,0,male,29.8811345124283,0,0,26.55
119,1,1,male,50.0,2,0,133.65
120,1,1,male,43.0,1,0,27.72
121,1,1,female,29.8811345124283,1,0,133.65
122,1,1,female,22.0,0,2,49.5
123,1,1,male,60.0,1,1,79.2
124,1,1,female,48.0,1,1,79.2
125,1,0,male,29.8811345124283,0,0,0.0
126,1,0,male,37.0,1,0,53.1
127,1,1,female,35.0,1,0,53.1
128,1,0,male,47.0,0,0,38.5
129,1,1,female,35.0,0,0,211.5
130,1,1,female,22.0,0,1,59.4
131,1,1,female,45.0,0,1,59.4
132,1,0,male,24.0,0,0,79.2
133,1,1,male,49.0,1,0,89.1
134,1,1,female,29.8811345124283,1,0,89.1
135,1,0,male,71.0,0,0,34.65
136,1,1,male,53.0,0,0,28.5
137,1,1,female,19.0,0,0,30.0
138,1,0,male,38.0,0,1,153.46
139,1,1,female,58.0,0,1,153.46
140,1,1,male,23.0,0,1,63.36
141,1,1,female,45.0,0,1,63.36
142,1,0,male,46.0,0,0,79.2
143,1,1,male,25.0,1,0,55.44
144,1,1,female,25.0,1,0,55.44
145,1,1,male,48.0,1,0,76.73
146,1,1,female,49.0,1,0,76.73
147,1,0,male,29.8811345124283,0,0,42.4
148,1,0,male,45.0,1,0,83.48
149,1,1,female,35.0,1,0,83.48
150,1,0,male,40.0,0,0,0.0
151,1,1,male,27.0,0,0,76.73
152,1,1,male,29.8811345124283,0,0,30.0
153,1,1,female,24.0,0,0,83.16
154,1,0,male,55.0,1,1,93.5
155,1,1,female,52.0,1,1,93.5
156,1,0,male,42.0,0,0,42.5
157,1,0,male,29.8811345124283,0,0,51.86
158,1,0,male,55.0,0,0,50.0
