pclass,survived,gender,age,sibsp,parch,fare,embarked
1,1,female,29.0,0,0,211.34,S
1,1,male,0.9167,1,2,151.55,S
1,0,female,2.0,1,2,151.55,S
1,0,male,30.0,1,2,151.55,S
1,0,female,25.0,1,2,151.55,S
1,1,male,48.0,0,0,26.55,S
1,1,female,63.0,1,0,77.96,S
1,0,male,39.0,0,0,0.0,S
1,1,female,53.0,2,0,51.48,S
1,0,male,71.0,0,0,49.5,C
1,0,male,47.0,1,0,227.53,C
1,1,female,18.0,1,0,227.53,C
1,1,female,24.0,0,0,69.3,C
1,1,female,26.0,0,0,78.85,S
1,1,male,80.0,0,0,30.0,S
1,0,male,,0,0,25.93,S
1,0,male,24.0,0,1,247.52,C
1,1,female,50.0,0,1,247.52,C
1,1,female,32.0,0,0,76.29,C
1,0,male,36.0,0,0,75.24,C
1,1,male,37.0,1,1,52.55,S
1,1,female,47.0,1,1,52.55,S
1,1,male,26.0,0,0,30.0,C
1,1,female,42.0,0,0,227.53,C
1,1,female,29.0,0,0,221.78,S
1,0,male,25.0,0,0,26.0,C
1,1,male,25.0,1,0,91.08,C
1,1,female,19.0,1,0,91.08,C
1,1,female,35.0,0,0,135.63,S
1,1,male,28.0,0,0,26.55,S
1,0,male,45.0,0,0,35.5,S
1,1,male,40.0,0,0,31.0,C
1,1,female,30.0,0,0,164.87,S
1,1,female,58.0,0,0,26.55,S
1,0,male,42.0,0,0,26.55,S
1,1,female,45.0,0,0,262.38,C
1,1,female,22.0,0,1,55.0,S
1,1,male,,0,0,26.55,S
1,0,male,41.0,0,0,30.5,S
1,0,male,48.0,0,0,50.5,C
1,0,male,,0,0,39.6,C
1,1,female,44.0,0,0,27.72,C
1,1,female,59.0,2,0,51.48,S
1,1,female,60.0,0,0,76.29,C
1,1,female,41.0,0,0,134.5,C
1,0,male,45.0,0,0,26.55,S
1,0,male,,0,0,31.0,S
1,1,male,42.0,0,0,26.29,S
1,1,female,53.0,0,0,27.45,C
1,1,male,36.0,0,1,512.33,C
1,1,female,58.0,0,1,512.33,C
1,0,male,33.0,0,0,5.0,S
1,0,male,28.0,0,0,47.1,S
